families	Element_symbol	Element_name	Scope	Type	Subtype	Class	Subclass	Method	Target_length	Reference_sequence_length	Prct_Coverage_of_reference	Prct_Identity_to_reference	Alignment_length	Closest_reference_accession	Closest_reference_name	HMM_accession	HMM_description
FJV04_RS13570	amvA	multidrug efflux MFS transporter AmvA	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	495	492	100.00	99.60	494	ACQ82816.1	multidrug efflux MFS transporter AmvA	NA	NA
FPK34_RS20790	arsD	arsenite efflux transporter metallochaperone ArsD	plus	STRESS	METAL	ARSENIC	ARSENITE	PARTIALP	97	120	80.83	96.91	97	AAB09625.1	arsenite efflux transporter metallochaperone ArsD	NF033727.2	arsenite efflux transporter metallochaperone ArsD
FPK34_RS21210	pcoC	copper resistance system metallochaperone PcoC	plus	STRESS	METAL	COPPER	COPPER	PARTIALP	91	126	71.43	100.00	90	CAA58527.1	copper resistance system metallochaperone PcoC	NA	NA
FPK45_RS22080	asr	acid resistance repetitive basic protein Asr	plus	STRESS	ACID	NA	NA	HMM	83	102	76.47	61.45	83	BAA15331.2	acid resistance repetitive basic protein Asr	NF033636.1	acid resistance repetitive basic protein Asr
FPK45_RS22865	asr	acid resistance repetitive basic protein Asr	plus	STRESS	ACID	NA	NA	HMM	64	102	63.73	68.12	69	BAA15331.2	acid resistance repetitive basic protein Asr	NF033636.1	acid resistance repetitive basic protein Asr
FR761_RS19695	qacG2	quaternary ammonium compound efflux SMR transporter QacG2	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	EXACTP	111	110	100.00	100.00	110	WP_015063357.1	quaternary ammonium compound efflux SMR transporter QacG2	NF000278.1	quaternary ammonium compound efflux SMR transporter QacG2
G3R47_RS18700	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	640	639	100.00	100.00	639	WP_000691727.1	tetracycline resistance ribosomal protection protein Tet(M)	NF012155.1	tetracycline resistance ribosomal protection protein Tet(M)
G3R47_RS19555	dfrA41	trimethoprim-resistant dihydrofolate reductase DfrA41	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTP	171	170	100.00	100.00	170	WP_004729503.1	trimethoprim-resistant dihydrofolate reductase DfrA41	NA	NA
G3T41_RS13220	aac(3)-Ia	aminoglycoside N-acetyltransferase AAC(3)-Ia	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	EXACTP	155	154	100.00	100.00	154	WP_002089484.1	aminoglycoside N-acetyltransferase AAC(3)-Ia	NF033083.0	AAC(3)-I family aminoglycoside 3-N-acetyltransferase
G3T41_RS13255	aacA16	AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase AacA16	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	ALLELEP	184	183	100.00	100.00	183	WP_001109644.1	AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase AacA16	NF033078.2	AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase
G3T41_RS18280	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTP	272	271	100.00	100.00	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2	NF000295.1	sulfonamide-resistant dihydropteroate synthase Sul2
G3T41_RS20145	blaOXA-72	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase OXA-72	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	276	275	100.00	100.00	275	WP_000713530.1	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase OXA-72	NF000434.2	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
GHT88_RS19055	estT	macrolide hydrolase EstT	core	AMR	AMR	MACROLIDE	TYLOSIN	HMM	281	282	100.00	73.40	282	WP_185148407.1	macrolide hydrolase EstT	NF041759.1	macrolide hydrolase EstT
GSE42_RS19945	aadA16	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA16	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	282	281	100.00	100.00	281	WP_001749984.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA16	NF012157.0	ANT(3'')-I family aminoglycoside nucleotidyltransferase
GSE42_RS19950	dfrA27	trimethoprim-resistant dihydrofolate reductase DfrA27	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTP	158	157	100.00	100.00	157	WP_001749985.1	trimethoprim-resistant dihydrofolate reductase DfrA27	NF000330.1	trimethoprim-resistant dihydrofolate reductase DfrA
GSE42_RS20555	rmtB1	16S rRNA (guanine(1405)-N(7))-methyltransferase RmtB1	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	ALLELEP	252	251	100.00	100.00	251	WP_012372818.1	16S rRNA (guanine(1405)-N(7))-methyltransferase RmtB1	NF033209.1	RmtB family 16S rRNA (guanine(1405)-N(7))-methyltransferase
H1145_RS18355	aacA34	aminoglycoside 6'-N-acetyltransferase AacA34	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN/TOBRAMYCIN	EXACTP	147	146	100.00	100.00	146	WP_052285801.1	aminoglycoside 6'-N-acetyltransferase AacA34	NF000123.2	aminoglycoside 6'-N-acetyltransferase AacA34
HB663_RS18895	cmlA5	chloramphenicol efflux MFS transporter CmlA5	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTP	420	419	100.00	100.00	419	WP_012300772.1	chloramphenicol efflux MFS transporter CmlA5	NF000509.1	CmlA family chloramphenicol efflux MFS transporter
HB663_RS18900	arr-2	NAD(+)--rifampin ADP-ribosyltransferase Arr-2	core	AMR	AMR	RIFAMYCIN	RIFAMYCIN	ALLELEP	151	150	100.00	100.00	150	WP_000237816.1	NAD(+)--rifampin ADP-ribosyltransferase Arr-2	NF033144.1	NAD(+)--rifampin ADP-ribosyltransferase
HB663_RS19030	dfrA45	trimethoprim-resistant dihydrofolate reductase DfrA45	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTP	165	164	100.00	100.00	164	WP_049581834.1	trimethoprim-resistant dihydrofolate reductase DfrA45	NA	NA
HF304_RS11135	tet(C)	tetracycline efflux MFS transporter Tet(C)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	392	391	100.00	100.00	391	WP_000841448.1	tetracycline efflux MFS transporter Tet(C)	NF012191.0	tetracycline efflux MFS transporter Tet(C)
HLI16_RS13590	blaOXA-1	oxacillin-hydrolyzing class D beta-lactamase OXA-1	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	277	276	100.00	100.00	276	WP_001334766.1	oxacillin-hydrolyzing class D beta-lactamase OXA-1	NF000388.2	OXA-1 family class D beta-lactamase
HLI16_RS15405	merP	mercury resistance system periplasmic binding protein MerP	plus	STRESS	METAL	MERCURY	MERCURY	HMM	95	91	98.90	55.56	90	BAA20336.1	mercury resistance system periplasmic binding protein MerP	TIGR02052.1	mercury resistance system periplasmic binding protein MerP
HLI16_RS15410	merC	organomercurial transporter MerC	plus	STRESS	METAL	MERCURY	ORGANOMERCURY	HMM	140	140	93.57	59.54	131	AAC33908.1	organomercurial transporter MerC	NF033784.1	organomercurial transporter MerC
HOO23_RS18700	aph(3')-IIa	aminoglycoside O-phosphotransferase APH(3')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	265	264	100.00	100.00	264	WP_000572405.1	aminoglycoside O-phosphotransferase APH(3')-IIa	NF032898.2	APH(3')-II family aminoglycoside O-phosphotransferase
HUF98_RS16215	ant(3'')-IId	aminoglycoside nucleotidyltransferase ANT(3')-IId	core	AMR	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN/STREPTOMYCIN	EXACTP	263	262	100.00	100.00	262	WP_038350081.1	aminoglycoside nucleotidyltransferase ANT(3')-IId	NA	NA
I8P62_RS08320	aac(3)-I	AAC(3)-I family aminoglycoside 3-N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	HMM	155	158	97.47	85.06	154	WP_038404949.1	AAC(3)-I family aminoglycoside 3-N-acetyltransferase	NF033083.0	AAC(3)-I family aminoglycoside 3-N-acetyltransferase
I8P62_RS14560	arr-4	NAD(+)--rifampin ADP-ribosyltransferase Arr-4	core	AMR	AMR	RIFAMYCIN	RIFAMYCIN	ALLELEP	151	150	100.00	100.00	150	WP_033959319.1	NAD(+)--rifampin ADP-ribosyltransferase Arr-4	NF033144.1	NAD(+)--rifampin ADP-ribosyltransferase
IS509_RS00955	tet(Y)	tetracycline efflux MFS transporter Tet(Y)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	392	391	100.00	100.00	391	WP_011931119.1	tetracycline efflux MFS transporter Tet(Y)	NF012188.1	tetracycline efflux MFS transporter Tet(Y)
J527_RS21425	merA	mercury(II) reductase	plus	STRESS	METAL	MERCURY	MERCURY	HMM	544	561	100.00	89.48	561	AAC38220.1	mercury(II) reductase	TIGR02053.1	mercury(II) reductase
J558_RS0105155	clpK	heat shock survival AAA family ATPase ClpK	plus	STRESS	HEAT	NA	NA	BLASTP	954	949	100.00	95.91	953	ASF80763.1	heat shock survival AAA family ATPase ClpK	NF033606.1	heat shock survival AAA family ATPase ClpK
J558_RS20985	yfdX2	heat resistance protein YfdX2	plus	STRESS	HEAT	NA	NA	BLASTP	296	295	100.00	97.97	295	ASF80766.1	heat resistance protein YfdX2	NA	NA
JO931_RS18795	aadA5	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	263	262	100.00	100.00	262	WP_000503573.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5	NF012157.0	ANT(3'')-I family aminoglycoside nucleotidyltransferase
JO931_RS19100	blaCTX-M-115	extended-spectrum class A beta-lactamase CTX-M-115	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	292	291	100.00	100.00	291	WP_035895532.1	extended-spectrum class A beta-lactamase CTX-M-115	NF033089.1	CTX-M family extended-spectrum class A beta-lactamase
K642_RS0119640	tet(D)	tetracycline efflux MFS transporter Tet(D)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	365	394	92.64	99.73	365	WP_001039466.1	tetracycline efflux MFS transporter Tet(D)	NF012186.0	tetracycline efflux MFS transporter Tet(D)
L2638_RS20270	dfrA23	trimethoprim-resistant dihydrofolate reductase DfrA23	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTP	187	186	100.00	100.00	186	WP_001143450.1	trimethoprim-resistant dihydrofolate reductase DfrA23	NF000134.2	trimethoprim-resistant dihydrofolate reductase DfrA23
L7M95_RS15910	aph(3')-VIa	aminoglycoside O-phosphotransferase APH(3')-VIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	BLASTP	260	259	100.00	99.61	259	WP_000422636.1	aminoglycoside O-phosphotransferase APH(3')-VIa	NF033062.0	APH(3')-VI family aminoglycoside O-phosphotransferase
L7M95_RS18510	ble	bleomycin binding protein Ble-MBL	core	AMR	AMR	BLEOMYCIN	BLEOMYCIN	EXACTP	122	121	100.00	100.00	121	WP_004201167.1	bleomycin binding protein Ble-MBL	NF012202.0	bleomycin binding protein Ble-MBL
L7M95_RS18515	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	271	270	100.00	100.00	270	WP_004201164.1	subclass B1 metallo-beta-lactamase NDM-1	NF000259.2	NDM family subclass B1 metallo-beta-lactamase
LO014_RS18940	blaGIM-1	subclass B1 metallo-beta-lactamase GIM-1	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	251	250	100.00	100.00	250	WP_015588753.1	subclass B1 metallo-beta-lactamase GIM-1	NF000396.3	GIM family subclass B1 metallo-beta-lactamase
MO859_RS14780	blaOXA	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	BLASTP	282	274	98.18	100.00	269	WP_063862738.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-371	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
NLHDIDDJ_RS02550	dfrA38	trimethoprim-resistant dihydrofolate reductase DfrA38	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTP	167	166	100.00	100.00	166	WP_197749399.1	trimethoprim-resistant dihydrofolate reductase DfrA38	NA	NA
NLHDIDDJ_RS03025	dfrA14	trimethoprim-resistant dihydrofolate reductase DfrA14	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTP	158	157	100.00	100.00	157	WP_004201280.1	trimethoprim-resistant dihydrofolate reductase DfrA14	NF000330.1	trimethoprim-resistant dihydrofolate reductase DfrA
NNO94_RS02065	nreB	nickel resistance MFS transporter NreB	plus	STRESS	METAL	NICKEL	NICKEL	BLASTP	417	416	100.00	98.32	416	ADY84088.1	nickel resistance MFS transporter NreB	NA	NA
NNO94_RS06085	abaF	fosfomycin efflux MFS transporter AbaF	plus	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	BLASTP	430	429	100.00	99.53	429	ABO11759.2	fosfomycin efflux MFS transporter AbaF	NA	NA
NNO94_RS08705	adeC	multidrug efflux RND transporter AdeABC outer membrane channel subunit AdeC	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	466	465	100.00	97.20	465	AAL14441.1	multidrug efflux RND transporter AdeABC outer membrane channel subunit AdeC	NF033142.1	multidrug efflux RND transporter AdeABC outer membrane channel subunit AdeC
NNO94_RS12825	cxpE	chloramphenicol efflux transporter CxpE	plus	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTP	398	397	100.00	100.00	397	AKA30736.1	chloramphenicol efflux transporter CxpE	NF045801.1	chloramphenicol efflux transporter CxpE
NNO94_RS18070	ant(3'')-IIa	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN/STREPTOMYCIN	EXACTP	263	262	100.00	100.00	262	WP_001279062.1	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	NF033220.1	ANT(3'')-II family aminoglycoside nucleotidyltransferase
NNO96_RS15040	trxLHR	heat resistance system thioredoxin Trx-GI	plus	STRESS	HEAT	NA	NA	BLASTP	146	146	100.00	95.21	146	APX31176.1	heat resistance system thioredoxin Trx-GI	NA	NA
O2S79_RS06540	catA1	type A-1 chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTP	220	219	100.00	100.00	219	WP_000412211.1	type A-1 chloramphenicol O-acetyltransferase	NF000491.1	type A chloramphenicol O-acetyltransferase
OCUAC_RS17310	blaTMB-1	subclass B1 metallo-beta-lactamase TMB-1	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	246	245	100.00	100.00	245	WP_063865147.1	subclass B1 metallo-beta-lactamase TMB-1	NF000443.2	TMB family subclass B1 metallo-beta-lactamase
P676_RS05115	cml	CmlA/FloR family chloramphenicol efflux MFS transporter	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	HMM	422	421	100.00	88.36	421	WP_024160909.1	CmlA/FloR family chloramphenicol efflux MFS transporter	NF033134.0	CmlA/FloR family chloramphenicol efflux MFS transporter
P676_RS09940	aac(6')-Ian	aminoglycoside N-acetyltransferase AAC(6')-Ian	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	EXACTP	191	190	100.00	100.00	190	WP_000960976.1	aminoglycoside N-acetyltransferase AAC(6')-Ian	NF000431.1	aminoglycoside N-acetyltransferase AAC(6')-Ian
PK64_RS09950	qnrB19	quinolone resistance pentapeptide repeat protein QnrB19	core	AMR	AMR	QUINOLONE	QUINOLONE	ALLELEP	215	214	100.00	100.00	214	WP_012954666.1	quinolone resistance pentapeptide repeat protein QnrB19	NF000420.1	QnrB family quinolone resistance pentapeptide repeat protein
PV194_RS18825	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	400	399	100.00	100.00	399	WP_001973670.1	tetracycline efflux MFS transporter Tet(A)	NF012193.0	tetracycline efflux MFS transporter Tet(A)
PV194_RS19275	blaVEB-9	inhibitor-resistant extended-spectrum class A beta-lactamase VEB-9	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN/TANIBORBACTAM	ALLELEP	300	299	100.00	100.00	299	WP_032494864.1	inhibitor-resistant extended-spectrum class A beta-lactamase VEB-9	NF000390.2	VEB family extended-spectrum class A beta-lactamase
QM259_RS11605	blaRSA1	RSA1 family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	PARTIALP	245	283	86.57	99.18	245	WP_216944871.1	RSA1 family class A beta-lactamase	NF033103.1	class A beta-lactamase
QM277_RS12180	blaVIM-5	subclass B1 metallo-beta-lactamase VIM-5	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	267	266	100.00	100.00	266	WP_032491390.1	subclass B1 metallo-beta-lactamase VIM-5	NF012100.0	VIM family subclass B1 metallo-beta-lactamase
QP087_RS12850	merB	organomercurial lyase MerB	plus	STRESS	METAL	MERCURY	ORGANOMERCURY	HMM	209	212	92.92	62.44	197	AAA88369.1	organomercurial lyase MerB	NF033555.1	organomercurial lyase MerB
RKQ62_RS18360	blaMCA	MCA family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTP	391	390	100.00	100.00	390	WP_057991970.1	MCA family class C beta-lactamase	NF033406.1	MCA family class C beta-lactamase
RKQ66_RS16560	ere(B)	EreB family erythromycin esterase	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	EXACTP	420	419	100.00	100.00	419	WP_032488343.1	EreB family erythromycin esterase	NF000209.1	EreB family erythromycin esterase
TY69_RS16595	tet(B)	tetracycline efflux MFS transporter Tet(B)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	406	401	99.75	100.00	400	WP_001089072.1	tetracycline efflux MFS transporter Tet(B)	NF012190.1	tetracycline efflux MFS transporter Tet(B)
U0542_RS11555	merT	mercuric transport protein MerT	plus	STRESS	METAL	MERCURY	MERCURY	BLASTP	122	116	99.14	99.13	115	CAA70196.1	mercuric transport protein MerT	NA	NA
U2E26_RS16780	merP	mercury resistance system periplasmic binding protein MerP	plus	STRESS	METAL	MERCURY	MERCURY	HMM	92	91	100.00	61.54	91	BAA20336.1	mercury resistance system periplasmic binding protein MerP	TIGR02052.1	mercury resistance system periplasmic binding protein MerP
U2E26_RS16785	merC	organomercurial transporter MerC	plus	STRESS	METAL	MERCURY	ORGANOMERCURY	HMM	136	141	93.62	58.33	132	AAC38233.1	organomercurial transporter MerC	NF033784.1	organomercurial transporter MerC
U2E26_RS16790	merA	mercury(II) reductase	plus	STRESS	METAL	MERCURY	MERCURY	HMM	558	562	99.29	56.71	559	CAC69251.1	mercury(II) reductase	TIGR02053.1	mercury(II) reductase
U2F21_RS00020	dfrA19	trimethoprim-resistant dihydrofolate reductase DfrA19	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTP	190	189	100.00	100.00	189	WP_000019304.1	trimethoprim-resistant dihydrofolate reductase DfrA19	NF000041.1	trimethoprim-resistant dihydrofolate reductase DfrA19
U2F21_RS16560	blaFOX-5	cephalosporin-hydrolyzing class C beta-lactamase FOX-5	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	383	382	100.00	100.00	382	WP_016809943.1	cephalosporin-hydrolyzing class C beta-lactamase FOX-5	NF000399.2	FOX family cephalosporin-hydrolyzing class C beta-lactamase
U2F21_RS16570	ble	BLMT family bleomycin binding protein	core	AMR	AMR	BLEOMYCIN	BLEOMYCIN	HMM	120	126	92.86	74.36	117	WP_000131935.1	BLMT family bleomycin binding protein	NF000005.4	BLMT family bleomycin binding protein
U2F21_RS16575	aph(3')-II	APH(3')-II family aminoglycoside O-phosphotransferase	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	HMM	259	264	95.83	74.31	253	WP_000572405.1	APH(3')-II family aminoglycoside O-phosphotransferase	NF032898.2	APH(3')-II family aminoglycoside O-phosphotransferase
V5147_RS17795	tet(39)	tetracycline efflux MFS transporter Tet(39)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	396	395	100.00	100.00	395	WP_004856455.1	tetracycline efflux MFS transporter Tet(39)	NF012174.0	Tet(A)/Tet(B)/Tet(C) family tetracycline efflux MFS transporter
VT62_RS11965	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	BLASTP	270	278	100.00	96.76	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id	NF012171.0	APH(6)-I family aminoglycoside O-phosphotransferase
VXO87_RS16705	yfdX1	heat resistance protein YfdX1	plus	STRESS	HEAT	NA	NA	BLASTP	304	304	100.00	88.82	304	APX31172.1	heat resistance protein YfdX1	NA	NA
